date,airport_arrivals,airport_arrivals_lag1
2012-01-01,51956,51956
2012-01-02,51956,51956
2012-01-03,51956,51956
2012-01-04,51956,51956
2012-01-05,51956,51956
2012-01-06,51956,51956
2012-01-07,51956,51956
2012-01-08,51956,51956
2012-01-09,51956,51956
2012-01-10,51956,51956
2012-01-11,51956,51956
2012-01-12,51956,51956
2012-01-13,51956,51956
2012-01-14,51956,51956
2012-01-15,51956,51956
2012-01-16,51956,51956
2012-01-17,51956,51956
2012-01-18,51956,51956
2012-01-19,51956,51956
2012-01-20,51956,51956
2012-01-21,51956,51956
2012-01-22,51956,51956
2012-01-23,51956,51956
2012-01-24,51956,51956
2012-01-25,51956,51956
2012-01-26,51956,51956
2012-01-27,51956,51956
2012-01-28,51956,51956
2012-01-29,51956,51956
2012-01-30,51956,51956
2012-01-31,51956,51956
2012-02-01,51956,51956
2012-02-02,51956,51956
2012-02-03,51956,51956
2012-02-04,51956,51956
2012-02-05,51956,51956
2012-02-06,51956,51956
2012-02-07,51956,51956
2012-02-08,51956,51956
2012-02-09,51956,51956
2012-02-10,51956,51956
2012-02-11,51956,51956
2012-02-12,51956,51956
2012-02-13,51956,51956
2012-02-14,51956,51956
2012-02-15,51956,51956
2012-02-16,51956,51956
2012-02-17,51956,51956
2012-02-18,51956,51956
2012-02-19,51956,51956
2012-02-20,51956,51956
2012-02-21,51956,51956
2012-02-22,51956,51956
2012-02-23,51956,51956
2012-02-24,51956,51956
2012-02-25,51956,51956
2012-02-26,51956,51956
2012-02-27,51956,51956
2012-02-28,51956,51956
2012-02-29,51956,51956
2012-03-01,51956,51956
2012-03-02,51956,51956
2012-03-03,51956,51956
2012-03-04,51956,51956
2012-03-05,51956,51956
2012-03-06,51956,51956
2012-03-07,51956,51956
2012-03-08,51956,51956
2012-03-09,51956,51956
2012-03-10,51956,51956
2012-03-11,51956,51956
2012-03-12,51956,51956
2012-03-13,51956,51956
2012-03-14,51956,51956
2012-03-15,51956,51956
2012-03-16,51956,51956
2012-03-17,51956,51956
2012-03-18,51956,51956
2012-03-19,51956,51956
2012-03-20,51956,51956
2012-03-21,51956,51956
2012-03-22,51956,51956
2012-03-23,51956,51956
2012-03-24,51956,51956
2012-03-25,51956,51956
2012-03-26,51956,51956
2012-03-27,51956,51956
2012-03-28,51956,51956
2012-03-29,51956,51956
2012-03-30,51956,51956
2012-03-31,51956,51956
2012-04-01,51615,51956
2012-04-02,51615,51615
2012-04-03,51615,51615
2012-04-04,51615,51615
2012-04-05,51615,51615
2012-04-06,51615,51615
2012-04-07,51615,51615
2012-04-08,51615,51615
2012-04-09,51615,51615
2012-04-10,51615,51615
2012-04-11,51615,51615
2012-04-12,51615,51615
2012-04-13,51615,51615
2012-04-14,51615,51615
2012-04-15,51615,51615
2012-04-16,51615,51615
2012-04-17,51615,51615
2012-04-18,51615,51615
2012-04-19,51615,51615
2012-04-20,51615,51615
