date,cruise_ship_flag,ships_in_port_count,cruise_passenger_estimate
2024-04-15,1,1,1500
2024-04-23,1,1,1500
2024-04-25,1,1,1500
2024-04-27,1,1,1500
2024-05-05,1,1,1500
2024-05-06,1,1,1500
2024-05-07,1,1,1500
2024-05-10,1,1,1500
2024-05-13,1,1,1500
2024-05-14,1,1,1500
2024-05-17,1,1,1500
2024-05-18,1,1,1500
2024-05-19,1,1,1500
2024-05-21,1,1,1500
2024-05-22,1,1,1500
2024-05-26,1,1,1500
2024-05-30,1,2,3000
2024-05-31,1,1,1500
2024-06-02,1,1,1500
2024-06-03,1,1,1500
2024-06-06,1,1,1500
2024-06-07,1,1,1500
2024-06-10,1,1,1500
2024-06-12,1,1,1500
2024-06-14,1,1,1500
2024-06-16,1,1,1500
2024-06-20,1,1,1500
2024-06-22,1,1,1500
2024-06-23,1,1,1500
2024-06-26,1,1,1500
2024-06-27,1,1,1500
2024-06-29,1,1,1500
2024-06-30,1,1,1500
2024-07-01,1,1,1500
2024-07-02,1,1,1500
2024-07-04,1,1,1500
2024-07-05,1,1,1500
2024-07-06,1,1,1500
2024-07-08,1,1,1500
2024-07-09,1,1,1500
2024-07-17,1,1,1500
2024-07-20,1,1,1500
2024-07-22,1,1,1500
2024-07-25,1,1,1500
2024-07-28,1,1,1500
2024-07-29,1,2,3000
2024-07-31,1,1,1500
2024-08-01,1,1,1500
2024-08-02,1,1,1500
2024-08-08,1,1,1500
2024-08-09,1,1,1500
2024-08-10,1,1,1500
2024-08-11,1,1,1500
2024-08-13,1,1,1500
2024-08-14,1,2,3000
2024-08-15,1,1,1500
2024-08-20,1,1,1500
2024-08-22,1,2,3000
2024-08-24,1,1,1500
2024-08-25,1,1,1500
2024-08-27,1,1,1500
2024-08-28,1,1,1500
2024-08-29,1,1,1500
2024-08-30,1,1,1500
2024-09-02,1,1,1500
2024-09-03,1,1,1500
2024-09-05,1,1,1500
2024-09-06,1,1,1500
2024-09-07,1,1,1500
2024-09-11,1,1,1500
2024-09-15,1,1,1500
2024-09-16,1,1,1500
2024-09-21,1,1,1500
2024-09-27,1,1,1500
2024-09-30,1,1,1500
2025-03-27,1,1,930
2025-04-16,1,1,930
2025-04-21,1,1,3592
2025-04-24,1,1,930
2025-05-05,1,1,1500
2025-05-09,1,1,187
2025-05-10,1,1,930
2025-05-13,1,2,3444
2025-05-15,1,1,3391
2025-05-16,1,1,200
2025-05-18,1,1,936
2025-05-24,1,1,3592
2025-05-28,1,1,1498
2025-05-30,1,1,1321
2025-06-02,1,1,312
2025-06-04,1,1,2174
2025-06-05,1,1,930
2025-06-07,1,1,1380
2025-06-08,1,1,1500
2025-06-09,1,1,3391
2025-06-11,1,1,144
2025-06-12,1,1,930
2025-06-13,1,1,930
2025-06-14,1,1,626
2025-06-15,1,1,809
2025-06-17,1,1,3592
2025-06-26,1,1,1500
2025-06-29,1,1,3592
2025-07-03,1,1,809
2025-07-05,1,1,930
2025-07-14,1,1,456
2025-07-15,1,1,2174
2025-07-16,1,1,2914
2025-07-23,1,1,2914
2025-07-24,1,1,3592
2025-07-25,1,1,930
2025-07-26,1,1,510
2025-07-28,1,1,312
2025-07-29,1,1,450
2025-07-31,1,1,930
2025-08-02,1,1,930
2025-08-04,1,1,730
2025-08-05,1,1,2914
2025-08-06,1,1,700
2025-08-07,1,1,1838
2025-08-08,1,1,930
2025-08-09,1,1,2500
2025-08-10,1,1,312
2025-08-11,1,1,1321
2025-08-12,1,1,450
2025-08-13,1,1,2914
2025-08-15,1,1,930
2025-08-16,1,1,3592
2025-08-17,1,1,133
2025-08-19,1,1,1258
2025-08-22,1,1,1321
2025-08-23,1,1,1500
2025-08-24,1,1,809
2025-08-26,1,1,2914
2025-08-28,1,1,2770
2025-08-29,1,1,1258
2025-08-30,1,1,930
2025-09-03,1,1,2914
2025-09-04,1,1,930
2025-09-06,1,1,1144
2025-09-07,1,1,930
2025-09-10,1,1,2376
2025-09-12,1,1,3592
2025-09-19,1,1,3592
2025-09-20,1,1,596
2025-09-23,1,1,420
2025-09-26,1,1,2174
2025-09-27,1,1,930
2025-09-28,1,1,930
2025-09-30,1,1,3592
2026-04-03,1,1,930
2026-04-07,1,1,930
2026-04-15,1,1,930
2026-04-20,1,1,3560
2026-04-24,1,1,1807
2026-05-10,1,1,930
2026-05-11,1,1,3391
