date,airport_arrivals,airport_arrivals_lag1,cruise_ship_flag,ships_in_port_count,cruise_passenger_estimate,bank_holiday_flag,aviva_event_flag,croke_park_event_flag,nearby_venue_event_flag,city_event_flag,event_impact_score,event_names,school_holiday_flag,college_term_flag,payday_period_flag,days_from_payday,st_patricks_week_flag,bloomsday_flag,bloomsday_week_flag,summer_tourism_flag,christmas_market_flag,new_years_eve_flag,new_years_day_flag,major_sports_event_flag
2023-01-01,90166,84402,0,0,0,1,0,0,0,0,0.0,,1,0,1,-4,0,0,0,0,0,0,1,0
2023-01-02,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,0,1,-3,0,0,0,0,0,0,0,0
2023-01-03,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,0,1,-2,0,0,0,0,0,0,0,0
2023-01-04,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,0,1,-1,0,0,0,0,0,0,0,0
2023-01-05,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,0,1,0,0,0,0,0,0,0,0,0
2023-01-06,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,0,0,1,0,0,0,0,0,0,0,0
2023-01-07,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,0,0,2,0,0,0,0,0,0,0,0
2023-01-08,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,0,0,3,0,0,0,0,0,0,0,0
2023-01-09,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,0,0,4,0,0,0,0,0,0,0,0
2023-01-10,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,0,0,5,0,0,0,0,0,0,0,0
2023-01-11,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,0,0,6,0,0,0,0,0,0,0,0
2023-01-12,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,0,0,7,0,0,0,0,0,0,0,0
2023-01-13,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,0,0,8,0,0,0,0,0,0,0,0
2023-01-14,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,0,0,9,0,0,0,0,0,0,0,0
2023-01-15,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,10,0,0,0,0,0,0,0,0
2023-01-16,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,11,0,0,0,0,0,0,0,0
2023-01-17,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,12,0,0,0,0,0,0,0,0
2023-01-18,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,13,0,0,0,0,0,0,0,0
2023-01-19,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,14,0,0,0,0,0,0,0,0
2023-01-20,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,15,0,0,0,0,0,0,0,0
2023-01-21,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,16,0,0,0,0,0,0,0,0
2023-01-22,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,17,0,0,0,0,0,0,0,0
2023-01-23,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,18,0,0,0,0,0,0,0,0
2023-01-24,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,19,0,0,0,0,0,0,0,0
2023-01-25,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,0,0,0,0,0,0,0,0,0
2023-01-26,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,1,0,0,0,0,0,0,0,0
2023-01-27,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,2,0,0,0,0,0,0,0,0
2023-01-28,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,3,0,0,0,0,0,0,0,0
2023-01-29,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,4,0,0,0,0,0,0,0,0
2023-01-30,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,5,0,0,0,0,0,0,0,0
2023-01-31,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,6,0,0,0,0,0,0,0,0
2023-02-01,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,-4,0,0,0,0,0,0,0,0
2023-02-02,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,-3,0,0,0,0,0,0,0,0
2023-02-03,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,-2,0,0,0,0,0,0,0,0
2023-02-04,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,-1,0,0,0,0,0,0,0,0
2023-02-05,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,0,0,0,0,0,0,0,0,0
2023-02-06,90166,90166,0,0,0,1,0,0,0,0,0.0,,0,1,0,1,0,0,0,0,0,0,0,0
2023-02-07,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,2,0,0,0,0,0,0,0,0
2023-02-08,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,3,0,0,0,0,0,0,0,0
2023-02-09,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,4,0,0,0,0,0,0,0,0
2023-02-10,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,5,0,0,0,0,0,0,0,0
2023-02-11,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,6,0,0,0,0,0,0,0,0
2023-02-12,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,7,0,0,0,0,0,0,0,0
2023-02-13,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,8,0,0,0,0,0,0,0,0
2023-02-14,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,9,0,0,0,0,0,0,0,0
2023-02-15,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,10,0,0,0,0,0,0,0,0
2023-02-16,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,1,0,11,0,0,0,0,0,0,0,0
2023-02-17,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,1,0,12,0,0,0,0,0,0,0,0
2023-02-18,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,1,0,13,0,0,0,0,0,0,0,0
2023-02-19,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,1,0,14,0,0,0,0,0,0,0,0
2023-02-20,90166,90166,0,0,0,0,0,0,0,0,0.0,,1,1,0,15,0,0,0,0,0,0,0,0
2023-02-21,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,16,0,0,0,0,0,0,0,0
2023-02-22,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,17,0,0,0,0,0,0,0,0
2023-02-23,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,18,0,0,0,0,0,0,0,0
2023-02-24,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,19,0,0,0,0,0,0,0,0
2023-02-25,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,0,0,0,0,0,0,0,0,0
2023-02-26,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,1,0,0,0,0,0,0,0,0
2023-02-27,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,2,0,0,0,0,0,0,0,0
2023-02-28,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,3,0,0,0,0,0,0,0,0
2023-03-01,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,-4,0,0,0,0,0,0,0,0
2023-03-02,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,-3,0,0,0,0,0,0,0,0
2023-03-03,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,-2,0,0,0,0,0,0,0,0
2023-03-04,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,-1,0,0,0,0,0,0,0,0
2023-03-05,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,1,0,0,0,0,0,0,0,0,0
2023-03-06,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,1,0,0,0,0,0,0,0,0
2023-03-07,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,2,0,0,0,0,0,0,0,0
2023-03-08,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,3,0,0,0,0,0,0,0,0
2023-03-09,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,4,0,0,0,0,0,0,0,0
2023-03-10,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,5,0,0,0,0,0,0,0,0
2023-03-11,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,6,0,0,0,0,0,0,0,0
2023-03-12,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,7,0,0,0,0,0,0,0,0
2023-03-13,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,8,1,0,0,0,0,0,0,0
2023-03-14,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,9,1,0,0,0,0,0,0,0
2023-03-15,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,10,1,0,0,0,0,0,0,0
2023-03-16,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,11,1,0,0,0,0,0,0,0
2023-03-17,90166,90166,0,0,0,1,0,0,0,0,0.0,,0,1,0,12,1,0,0,0,0,0,0,0
2023-03-18,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,13,0,0,0,0,0,0,0,0
2023-03-19,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,14,0,0,0,0,0,0,0,0
2023-03-20,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,15,0,0,0,0,0,0,0,0
2023-03-21,90166,90166,0,0,0,0,0,0,0,0,0.0,,0,1,0,16,0,0,0,0,0,0,0,0
