date,kickoff_local,competition,home_team,away_team,intensity,is_ireland_match
2023-02-04,14:00,Horse Racing,Leopardstown,,2,True
2023-02-05,14:00,Horse Racing,Leopardstown,,2,True
2023-03-14,13:30,Horse Racing,Cheltenham,,3,True
2023-03-15,13:30,Horse Racing,Cheltenham,,3,True
2023-03-16,13:30,Horse Racing,Cheltenham,,3,True
2023-03-17,13:30,Horse Racing,Cheltenham,,3,True
2023-04-10,14:00,Horse Racing,Fairyhouse,,2,True
2023-04-15,14:00,Horse Racing,Aintree,,2,True
2023-04-25,14:00,Horse Racing,Punchestown,,3,True
2023-04-26,14:00,Horse Racing,Punchestown,,3,True
2023-04-27,14:00,Horse Racing,Punchestown,,3,True
2023-04-28,14:00,Horse Racing,Punchestown,,3,True
2023-04-29,14:00,Horse Racing,Punchestown,,3,True
2023-07-01,14:00,Horse Racing,The Curragh,,2,True
2023-07-25,14:00,Horse Racing,Galway Racecourse,,3,True
2023-07-26,14:00,Horse Racing,Galway Racecourse,,3,True
2023-07-27,14:00,Horse Racing,Galway Racecourse,,3,True
2023-07-28,14:00,Horse Racing,Galway Racecourse,,3,True
2023-07-29,14:00,Horse Racing,Galway Racecourse,,3,True
2023-07-30,14:00,Horse Racing,Galway Racecourse,,3,True
2023-07-31,14:00,Horse Racing,Galway Racecourse,,3,True
2023-12-26,13:00,Horse Racing,Leopardstown,,3,True
2023-12-27,13:00,Horse Racing,Leopardstown,,3,True
2023-12-28,13:00,Horse Racing,Leopardstown,,3,True
2023-12-29,13:00,Horse Racing,Leopardstown,,3,True
2024-02-03,14:00,Horse Racing,Leopardstown,,2,True
2024-02-04,14:00,Horse Racing,Leopardstown,,2,True
2024-03-12,13:30,Horse Racing,Cheltenham,,3,True
2024-03-13,13:30,Horse Racing,Cheltenham,,3,True
2024-03-14,13:30,Horse Racing,Cheltenham,,3,True
2024-03-15,13:30,Horse Racing,Cheltenham,,3,True
2024-04-01,14:00,Horse Racing,Fairyhouse,,2,True
2024-04-13,14:00,Horse Racing,Aintree,,2,True
2024-04-23,14:00,Horse Racing,Punchestown,,3,True
2024-04-24,14:00,Horse Racing,Punchestown,,3,True
2024-04-25,14:00,Horse Racing,Punchestown,,3,True
2024-04-26,14:00,Horse Racing,Punchestown,,3,True
2024-04-27,14:00,Horse Racing,Punchestown,,3,True
2024-06-29,14:00,Horse Racing,The Curragh,,2,True
2024-07-29,14:00,Horse Racing,Galway Racecourse,,3,True
2024-07-30,14:00,Horse Racing,Galway Racecourse,,3,True
