date,kickoff_local,competition,home_team,away_team,intensity,is_ireland_match
2023-06-24,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2023-07-01,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2023-07-08,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2023-11-11,20:00,Autumn Nations Series,Ireland,South Africa,3,True
2023-11-19,20:00,Autumn Nations Series,Ireland,Fiji,3,True
2023-11-25,20:00,Autumn Nations Series,Ireland,New Zealand,3,True
2024-07-06,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2024-07-13,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2024-07-20,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2024-11-09,20:00,Autumn Nations Series,Ireland,New Zealand,3,True
2024-11-16,20:00,Autumn Nations Series,Ireland,Argentina,3,True
2024-11-23,20:00,Autumn Nations Series,Ireland,Australia,3,True
2025-06-28,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2025-07-05,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2025-07-12,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2025-11-08,20:00,Autumn Nations Series,Ireland,South Africa,3,True
2025-11-15,20:00,Autumn Nations Series,Ireland,Fiji,3,True
2025-11-22,20:00,Autumn Nations Series,Ireland,Australia,3,True
2026-06-27,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2026-07-04,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2026-07-11,11:00,Ireland Summer Tour,Touring Side,Ireland,2,True
2026-11-07,20:00,Autumn Nations Series,Ireland,New Zealand,3,True
2026-11-14,20:00,Autumn Nations Series,Ireland,Argentina,3,True
2026-11-21,20:00,Autumn Nations Series,Ireland,South Africa,3,True
