date,bank_holiday_flag,holiday_name
2023-01-01,1,New Year's Day
2023-02-06,1,Saint Brigid's Day
2023-03-17,1,Saint Patrick's Day
2023-04-10,1,Easter Monday
2023-05-01,1,May Day
2023-06-05,1,June Bank Holiday
2023-08-07,1,August Bank Holiday
2023-10-30,1,October Bank Holiday
2023-12-25,1,Christmas Day
2023-12-26,1,Saint Stephen's Day
2024-01-01,1,New Year's Day
2024-02-05,1,Saint Brigid's Day
2024-03-17,1,Saint Patrick's Day
2024-04-01,1,Easter Monday
2024-05-06,1,May Day
2024-06-03,1,June Bank Holiday
2024-08-05,1,August Bank Holiday
2024-10-28,1,October Bank Holiday
2024-12-25,1,Christmas Day
2024-12-26,1,Saint Stephen's Day
2025-01-01,1,New Year's Day
2025-02-03,1,Saint Brigid's Day
2025-03-17,1,Saint Patrick's Day
2025-04-21,1,Easter Monday
2025-05-05,1,May Day
2025-06-02,1,June Bank Holiday
2025-08-04,1,August Bank Holiday
2025-10-27,1,October Bank Holiday
2025-12-25,1,Christmas Day
2025-12-26,1,Saint Stephen's Day
2026-01-01,1,New Year's Day
2026-02-02,1,Saint Brigid's Day
2026-03-17,1,Saint Patrick's Day
2026-04-06,1,Easter Monday
2026-05-04,1,May Day
2026-06-01,1,June Bank Holiday
2026-08-03,1,August Bank Holiday
2026-10-26,1,October Bank Holiday
2026-12-25,1,Christmas Day
2026-12-26,1,Saint Stephen's Day
