date,kickoff_local,competition,home_team,away_team,intensity,is_ireland_match
2023-02-04,14:15,Six Nations,Ireland,Wales,2,True
2023-02-04,16:45,Six Nations,France,Italy,2,False
2023-02-05,14:15,Six Nations,Scotland,England,2,False
2023-02-11,14:15,Six Nations,Wales,Scotland,2,False
2023-02-11,16:45,Six Nations,Italy,England,2,False
2023-02-12,14:15,Six Nations,France,Ireland,2,True
2023-02-25,14:15,Six Nations,Ireland,Scotland,2,True
2023-02-25,16:45,Six Nations,England,Italy,2,False
2023-02-26,14:15,Six Nations,Wales,France,2,False
2023-03-11,14:15,Six Nations,Scotland,France,2,False
2023-03-11,16:45,Six Nations,Italy,Ireland,2,True
2023-03-12,15:00,Six Nations,England,Wales,2,False
2023-03-18,14:15,Six Nations,Scotland,Italy,2,False
2023-03-18,16:45,Six Nations,Ireland,England,3,True
2023-03-18,20:00,Six Nations,France,Wales,2,False
2024-02-02,19:30,Six Nations,France,Ireland,2,True
2024-02-03,14:15,Six Nations,Scotland,Wales,2,False
2024-02-03,16:45,Six Nations,England,Italy,2,False
2024-02-10,14:15,Six Nations,Ireland,Italy,2,True
2024-02-10,16:45,Six Nations,Wales,England,2,False
2024-02-11,14:15,Six Nations,Scotland,France,2,False
2024-02-24,14:15,Six Nations,England,Scotland,2,False
2024-02-24,16:45,Six Nations,Ireland,Wales,2,True
2024-02-25,14:15,Six Nations,Italy,France,2,False
2024-03-09,14:15,Six Nations,France,England,2,False
2024-03-09,16:45,Six Nations,Wales,Ireland,2,True
2024-03-09,19:00,Six Nations,Italy,Scotland,2,False
2024-03-16,14:15,Six Nations,Italy,Wales,2,False
2024-03-16,16:45,Six Nations,Scotland,Ireland,2,True
2024-03-16,19:00,Six Nations,England,France,2,False
2025-02-01,14:15,Six Nations,Ireland,England,2,True
2025-02-01,16:45,Six Nations,France,Wales,2,False
2025-02-02,14:15,Six Nations,Scotland,Italy,2,False
2025-02-08,14:15,Six Nations,Wales,Scotland,2,False
2025-02-08,16:45,Six Nations,Italy,Ireland,2,True
2025-02-09,14:15,Six Nations,England,France,2,False
2025-02-22,14:15,Six Nations,Ireland,France,2,True
2025-02-22,16:45,Six Nations,England,Wales,2,False
2025-02-23,14:15,Six Nations,Italy,Scotland,2,False
2025-03-08,14:15,Six Nations,Scotland,England,2,False
2025-03-08,16:45,Six Nations,France,Italy,2,False
2025-03-08,19:00,Six Nations,Wales,Ireland,2,True
2025-03-15,14:15,Six Nations,Ireland,Scotland,3,True
2025-03-15,16:45,Six Nations,Wales,Italy,2,False
2025-03-15,19:00,Six Nations,France,England,2,False
2026-01-31,14:15,Six Nations,England,France,2,False
2026-01-31,16:45,Six Nations,Wales,Ireland,2,True
2026-02-01,14:15,Six Nations,Scotland,Italy,2,False
2026-02-07,14:15,Six Nations,France,Scotland,2,False
2026-02-07,16:45,Six Nations,Ireland,Italy,2,True
2026-02-08,14:15,Six Nations,England,Wales,2,False
2026-02-21,14:15,Six Nations,Scotland,Wales,2,False
2026-02-21,16:45,Six Nations,Italy,France,2,False
2026-02-22,14:15,Six Nations,Ireland,England,2,True
2026-03-07,14:15,Six Nations,Wales,France,2,False
2026-03-07,16:45,Six Nations,England,Italy,2,False
2026-03-08,14:15,Six Nations,Ireland,Scotland,2,True
2026-03-14,14:15,Six Nations,Italy,England,2,False
2026-03-14,16:45,Six Nations,France,Ireland,2,True
2026-03-14,19:00,Six Nations,Scotland,Wales,2,False
